generationBatchId,dataLockStatus,familyCanonical,familyCode,productGroupKey,productSlug,productTitle,capacityMl,glassColorCanonical,glassColorCode,neckThreadSize,applicatorCanonical,applicatorCode,primaryOptionName,primaryOptionValue,primaryOptionCode,secondaryOptionName,secondaryOptionValue,secondaryOptionCode,graceSku,websiteSku,shopifyProductId,shopifyVariantId,convexProductId,convexProductGroupId,imageRole,outputFilename,outputWidth,outputHeight,sourceReferencePath,status,blockerNotes
2026-05-14-stakeholder-review,review,Empire,EMPI,empire-50ml-clear-18-415-antiquespray-tassel,empire-50ml-clear-18-415-antiquespray-tassel,"Empire design 50 ml, 1.7oz  clear glass bottle  with Silver vintage style bulb sprayer with tassel with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",50,Clear,CLR,18-415,Vintage Bulb Sprayer with Tassel,SPR,Glass Color,Clear,CLR,Cap Color,Matte Silver,MATT,GB-EMP-CLR-50ML-AST-MSLV,GBEmp50AnSpTslMtSl,,,kd7dq2z3p5zckny7ajnqc69ca581tg1e,kh754mdvzqqv480e7k365a00n583jmk2,pdp-main,GB-EMP-CLR-50ML-AST-MSLV__GBEmp50AnSpTslMtSl__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/empire-design-50-ml-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-128ml-frosted-18-415-antiquespray,round-128ml-frosted-18-415-antiquespray,"Round design 128 ml, 4.33oz frosted glass bottle with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beaut",128,Frosted,FRO,18-415,Vintage Bulb Sprayer,SPR,Glass Color,Frosted,FRO,Cap Color,White,WHT,GB-RND-FRS-128ML-ASP-WHT,GBRndFrst128AnSpWht,,,kd7fvjdq6k2wg6mj2cm5hp7wt581ty33,kh7evx5rfsypynvncd80m8ybe583jqk7,pdp-main,GB-RND-FRS-128ML-ASP-WHT__GBRndFrst128AnSpWht__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Elegant,ELEG,elegant-100ml-frosted-18-415-lotionpump,elegant-100ml-frosted-18-415-lotionpump,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with shiny black lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegant bottle is a family of bottles avai",100,Frosted,FRO,18-415,Lotion Pump,PMP,Glass Color,Frosted,FRO,Cap Color,Shiny Black,SHIN,LB-ELG-FRS-100ML-LPM-SBLK,LBElgFrst100LtnShnBlk,,,kd791eammcjpjkkwaf6qcp96an81tp3s,kh77570xf8qd9tkcbf1npg8d8983jyed,pdp-main,LB-ELG-FRS-100ML-LPM-SBLK__LBElgFrst100LtnShnBlk__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-shiny-black-lotion-pump-and-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Atomizer,ATOM,atomizer-5ml,atomizer-5ml,"Silver atomizer design 5 ml bottle with star patterns. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",5,Clear,CLR,13-415,Atomizer,ATM,Glass Color,Clear,CLR,Cap Color,Silver,SILV,GB-CYL-CLR-5ML-ATM-SLV-03,GBAtom5SlStars,,,kd7eavjewy567jk95c1nbt2kt181v34f,kh72145wh6ae44by9aqgb8js5n83k4xp,pdp-main,GB-CYL-CLR-5ML-ATM-SLV-03__GBAtom5SlStars__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/silver-atomizer-design-5-ml-bottle-star-patterns,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Diva,DIVA,diva-100ml-clear-18-415-lotionpump,diva-100ml-clear-18-415-lotionpump,"Diva design 100 ml, 3 1/2oz clear glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Our Classic",100,Clear,CLR,18-415,Lotion Pump,PMP,Glass Color,Clear,CLR,Cap Color,Clear Overcap,CLEA,LB-DVA-CLR-100ML-LPM-COCP,LBDiva100LtnClOvrCap,,,kd78g18brap8rnekv60sasyq2d81tm26,kh72xz1v349f9qc2emvq2nr8ah83j9j8,pdp-main,LB-DVA-CLR-100ML-LPM-COCP__LBDiva100LtnClOvrCap__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/diva-design-100-ml-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-78ml-frosted-18-415-reducer,round-78ml-frosted-18-415-reducer,"Round design 78 ml, 2.65oz frosted glass bottle with reducer and ivory faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Round design bottle is available in 2 sizes - 78ml and 128 ml. Price each",78,Frosted,FRO,18-415,Reducer,RED,Glass Color,Frosted,FRO,Cap Color,Ivory Leather,IVOR,GB-RND-FRS-78ML-RDC-IVLT,GBRndFrst78RdcrIvyLthr,,,kd77dhmfcq1hhq2vj70n8pd90181tg6x,kh75ft9jr72fvjnrbhxw4z160x83jazc,pdp-main,GB-RND-FRS-78ML-RDC-IVLT__GBRndFrst78RdcrIvyLthr__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-reducer-ivory-faux-leather-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Circle,CIRC,circle-15ml-clear-13-415-rollon,circle-15ml-clear-13-415-rollon,"Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and black shiny cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",15,Clear,CLR,13-415,Plastic Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Shiny Black,SHIN,GB-CIR-CLR-15ML-ROL-SBLK,GBCrcl15RollBlkSh,,,kd7ffdy2dwh6z6xmd275pqydyn81v1sa,kh7714036h7avy03vwfhfdz27x83k3aj,pdp-main,GB-CIR-CLR-15ML-ROL-SBLK__GBCrcl15RollBlkSh__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-black-shiny-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Square,SQUA,square-15ml-clear-13-415-rollon,square-15ml-clear-13-415-rollon,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price eac",15,Clear,CLR,13-415,Metal Roller Ball,ROL,Glass Color,Clear,CLR,Cap Color,Matte Gold,MATT,GB-SQR-CLR-15ML-MRL-MGLD,GBSqr15MtlRollGlMatt,,,kd78jdjpjsqer0qpk1hqqt5n3n81v0zd,kh7473acgn17bezn15v49abs0583jrdk,pdp-main,GB-SQR-CLR-15ML-MRL-MGLD__GBSqr15MtlRollGlMatt__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Sleek,SLEE,sleek-50ml-clear-18-415-antiquespray,sleek-50ml-clear-18-415-antiquespray,"Sleek design 50 ml, 1.7oz  clear glass bottle  with lavender vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",50,Clear,CLR,18-415,Vintage Bulb Sprayer,SPR,Glass Color,Clear,CLR,Cap Color,Lavender,LAVE,GB-SLK-CLR-50ML-ASP-LVN,GBSlk50AnSpLvn,,,kd7377r27cv4t1w4718hwqvs8181tcjr,kh794v5j65ywkbq8bdmj67enfn83k1g4,pdp-main,GB-SLK-CLR-50ML-ASP-LVN__GBSlk50AnSpLvn__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap,ready_for_prompt_review,
2026-05-14-stakeholder-review,review,Round,ROUN,round-128ml-frosted-18-415-antiquespray,round-128ml-frosted-18-415-antiquespray,"Round design 128 ml, 4.33oz frosted glass bottle with Red vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance t",128,Frosted,FRO,18-415,Vintage Bulb Sprayer,SPR,Glass Color,Frosted,FRO,Cap Color,Frosted,FRO,GB-RND-FRS-128ML-ASP-08,GBRndFrst128AnSpTslRed,,,kd7f72my3kxbk3x5nq3gvjr8f581tgey,kh7evx5rfsypynvncd80m8ybe583jqk7,pdp-main,GB-RND-FRS-128ML-ASP-08__GBRndFrst128AnSpTslRed__pdp-main__v001.png,2080,2288,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar,ready_for_prompt_review,
