issueType,field,productId,graceSku,websiteSku,family,capacityMl,rawValue,canonicalValue,note
image_prompt_blocked,promptMissingFields,,GB-VIA-AMB-1.5ML-WHT-S,GBVialAmb1o5WhtCapSht,Vial,2,hasApplicator,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,,GB-VIA-BLU-3ML-BLK-S,GBVBlu1o9BlackCapSht,Vial,3,hasApplicator | hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,,GB-PIL-CLR-9ML-SPR-MBLK,GBPillar9SpryBlkMatt,Pillar,9,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
image_prompt_blocked,promptMissingFields,,GB-BEL-CLR-10ML-SPR-SBLK,GBBell10SpryBlkSh,Bell,10,hasHeightWithoutCap,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-ELG-CLR-15ML-MNR-MCPR,GBElg15MinarCu,Elegant,15,,,No primary or cap-off image URL is available.
missing_image,imageUrl,,PKG-BOX-BRN-4X4X4,,Unknown,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,PKG-BOX-BRN-4X4X4,,Unknown,0,hasApplicator | hasCapStyle | hasCapColor | hasHeightWithCap | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,CMP-CAP-BDOT-17-415,,Cap/Component,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,CMP-CAP-BDOT-17-415,,Cap/Component,0,hasApplicator | hasCapStyle | hasCapColor | hasHeightWithoutCap | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,PKG-BOX-WHT-WINDOW-SM,,Gift Box,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,PKG-BOX-WHT-WINDOW-SM,,Gift Box,0,hasApplicator | hasCapStyle | hasCapColor | hasHeightWithCap | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,CMP-CAP-SBLK-13-415,,Cap/Component,0,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,CMP-CAP-SBLK-13-415,,Cap/Component,0,hasApplicator | hasCapStyle | hasCapColor | hasHeightWithoutCap | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-BLL-CLR-10ML-MRL-BDOT,GBBell10MtlRollBlkDot,Bell,10,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-BLL-CLR-10ML-MRL-BDOT,GBBell10MtlRollBlkDot,Bell,10,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-BLL-CLR-10ML-RBL-BDOT,GBBell10RollBlkDot,Bell,10,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-BLL-CLR-10ML-RBL-BDOT,GBBell10RollBlkDot,Bell,10,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-BSR-CLR-15ML-DRP-BLK,GBBstn15BlkDrp,Boston Round,15,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,GB-BSR-CLR-15ML-DRP-BLK,GBBstn15BlkDrp,Boston Round,15,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,PB-CYL-227ML-WFLP,PbClear8ozFlpWh,Cylinder,227,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,PB-CYL-227ML-WFLP,PbClear8ozFlpWh,Cylinder,227,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,PB-CYL-CLR-118ML-WFLP,PbClear4ozFlpWh,Cylinder,118,,,No primary or cap-off image URL is available.
image_prompt_blocked,promptMissingFields,,PB-CYL-CLR-118ML-WFLP,PbClear4ozFlpWh,Cylinder,118,hasApplicator | hasCapStyle | hasCapColor | hasDiameter,,Required prompt fields are missing for automated image generation.
missing_image,imageUrl,,GB-CYL-BLU-5ML-CAP-SBLK,GBCylBlu5BlkShSht,Cylinder,5,,,No primary or cap-off image URL is available.
missing_image,imageUrl,,PB-CYL-454ML-WFLP,PbNat16ozFlpWh,Cylinder,454,,,No primary or cap-off image URL is available.
